百家号名称	百家号作者ID	手百ID	UserID	作者状态	是否原创	机构名称	主页	机构代码	
大魔王料理	1573500792241050	1573500792871929	870915175	审核通过	是	厦门豚首互娱科技有限公司	http://baijiahao.baidu.com/u?app_id=01573500792871929	91350200MA349T0D0M	
练瑜伽	1573511527580180	1573511528259951	2868983595	审核通过	是	厦门波罗密网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01573511528259951	913502000658606181	
泉州舌尖美食	1575312510708688	1575312511438348	3176401345	审核通过	是	泉州卓恩网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01575312511438348	91350503097636936A	
新一条	1550128451553177	1550128451624149	2028946594	审核通过	是	青岛联合影像文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01550128451624149	91370203690311542E	
游戏大咖说	1564547403852243	1564547403918085	2990977544	审核通过	是	南京颂拓网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01564547403918085	913201130938927648	
牛事	1554967317296424	1554967317543943	1832995135	审核通过	是	南京狸猫格林网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01554967317543943	91320111MA1MEJKW6C	
大众证券报	1549967970112084	1549967970377857	52220022	审核通过	是	南京《大众证券报》传媒有限公司	http://baijiahao.baidu.com/u?app_id=01549967970377857	91320100425800070H	
一筒视频	1555032655832688	1555032656022517	939274860	审核通过	是	绵阳兴微动网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01555032656022517	915107033269237964	
现食研	1572267793613567	1572267794176849	2030632975	审核通过	是	马鞍山市沙间阁网络科技有限责任公司	http://baijiahao.baidu.com/u?app_id=01572267794176849	91340500MA2NAGNP00	
三食	1565801842445743	1565801842523513	3014413217	审核通过	是	临沂山丘和我网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01565801842523513	371302200064272	
砺石商业评论	1541451120994409	1541451120994409	2674080884	审核通过	是	砺石（北京）管理咨询有限公司	http://baijiahao.baidu.com/u?app_id=01541451120994409	91110105MA00417Q9H	
贝乐虎儿歌	1549942481305259	1549942481519916	2121670362	审核通过	是	乐擎网络科技（上海）有限公司	http://baijiahao.baidu.com/u?app_id=01549942481519916	913101103013487996	
兰州街访	1570153102091588	1570153106252485	2698941777	审核通过	是	兰州新媒无限网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01570153106252485	91620102MA72LAA824	
JSTYLE精美	1552225813132664	1552225813188366	2634563934	审核通过	是	精美（北京）科技有限公司	http://baijiahao.baidu.com/u?app_id=01552225813188366	91110108MA002NQY4C	
空军之翼	1537656338955970	1537656338955970	2614691913	审核通过	是	江苏皓威网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01537656338955970	913213220763687682	
空军世界	1537654908000495	1537654908000495	2614537586	审核通过	是	江苏皓威网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01537654908000495	913213220763687682	
摔角网	1550498159812837	1550498160011323	556583691	审核通过	是	嘉兴聚掌网络科技有限公司 	http://baijiahao.baidu.com/u?app_id=01550498160011323	91330402595787526K	
小颖说体育	1548600452406877	1548600452465298	2481078210	审核通过	是	济南微端文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01548600452465298	91370125MA3CA2NG0Y	
胖子食堂	1547056294966406	1547056295052736	2765639828	审核通过	是	济南斯凯文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01547056295052736	91370103306900490K	
汽车教练	1557283716850345	1557283716927017	1918327865	审核通过	是	湖州紫葫芦信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01557283716927017	9133052132782890XP	
拾物玩意	1562016976824333	1562016976879957	659637572	审核通过	是	河南墨菲电子商务有限公司	http://baijiahao.baidu.com/u?app_id=01562016976879957	91410105MA3X6ULW2N	
菜菜美食日记	1572797876182545	1572797876728300	2623100450	审核通过	是	广州智食网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01572797876728300	91440104340190824C	
菊椒男孩	1550397824188193	1550397824379539	1055870950	审核通过	是	广州有好戏网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01550397824379539	91440106MA59ABMY7W	
hi运动健身	1558754128470471	1558754128583720	2802387345	审核通过	是	广州市偶家科技有限公司	http://baijiahao.baidu.com/u?app_id=01558754128583720	914401133315104511	
车域无疆	1545809266225333	1545809266414246	66966597	审核通过	是	广州市红绿灯信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01545809266414246	91440114MA59CE825P	
有梗	1548510513476826	1548510513666712	1437931556	审核通过	是	广州麦格尼菲文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01548510513666712	91440106320978753E	
每日视野	1567606264509751	1567606271660054	3050024087	审核通过	是	广州酷刻传媒有限公司	http://baijiahao.baidu.com/u?app_id=01567606271660054	91440101MA59KT6Y9P	
居小仙	1567714197204043	1567714202146244	3051145956	审核通过	是	广州达咖信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01567714202146244	91440104MA59B68798	
奇绎娱乐	1546724111120630	1546724111180813	1268518810	审核通过	是	广西南宁奇绎文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01546724111180813	91450107MA5KA40BX0	
sikana学院	1565794527002605	1565794527075465	1273424465	审核通过	是	福州思佳纳文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01565794527075465	91350105MA2Y4YRK13	
鼎盛军事	1568068404627432	1568068410973550	3063384482	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01568068410973550	91110106MA00367UXD	
